"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","040","AUT","Austria","2018","18594",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","040","AUT","Austria","2019","18905",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","040","AUT","Austria","2020","18732",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","040","AUT","Austria","2021","19564",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","031","AZE","Azerbaijan","2005","7536",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","031","AZE","Azerbaijan","2006","8222",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","031","AZE","Azerbaijan","2007","8900",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","031","AZE","Azerbaijan","2008","9947",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","031","AZE","Azerbaijan","2009","10634",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","031","AZE","Azerbaijan","2010","11325",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","031","AZE","Azerbaijan","2011","12356",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","031","AZE","Azerbaijan","2012","13307",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","031","AZE","Azerbaijan","2013","14140",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","031","AZE","Azerbaijan","2014","14516",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","031","AZE","Azerbaijan","2015","15532",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","031","AZE","Azerbaijan","2016","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","031","AZE","Azerbaijan","2017","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","031","AZE","Azerbaijan","2018","16857",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","031","AZE","Azerbaijan","2019","17531",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","031","AZE","Azerbaijan","2020","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","031","AZE","Azerbaijan","2021","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","112","BLR","Belarus","2005","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","112","BLR","Belarus","2006","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","112","BLR","Belarus","2007","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","112","BLR","Belarus","2008","13742",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","112","BLR","Belarus","2009","13511",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","112","BLR","Belarus","2010","16023",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","112","BLR","Belarus","2011","19436",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","112","BLR","Belarus","2012","22031",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","112","BLR","Belarus","2013","25603",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","112","BLR","Belarus","2014","26587",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","112","BLR","Belarus","2015","24523",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","112","BLR","Belarus","2016","25239",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","112","BLR","Belarus","2017","26987",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","112","BLR","Belarus","2018","28082",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","112","BLR","Belarus","2019","28516",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","112","BLR","Belarus","2020","28778",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","112","BLR","Belarus","2021","29594",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","056","BEL","Belgium","2005","43846",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","056","BEL","Belgium","2006","43016",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","056","BEL","Belgium","2007","42085",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","056","BEL","Belgium","2008","38356",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","056","BEL","Belgium","2009","36174",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","056","BEL","Belgium","2010","35001",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","056","BEL","Belgium","2011","33107",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","056","BEL","Belgium","2012","32105",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","056","BEL","Belgium","2013","32795",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","056","BEL","Belgium","2014","31808",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","056","BEL","Belgium","2015","36077",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","056","BEL","Belgium","2016","35579",
